rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
135,data/RawData/305_18_6_9_1_stand.txt,305,18,6,9,1,stand,stand,stand,8.575967353266881,0.8903436988543372,0.0005564296909832119,0.29352719403741234,0.705918719349215,0.0
136,data/RawData/303_18_5_8_1_stand.txt,303,18,5,8,1,stand,stand,stand,8.520680796931307,0.8895253682487725,0.0,0.25984492105501555,0.7401543420883405,2.146990131404089e-06
137,data/RawData/104_18_6_5_1_stand.txt,104,18,6,5,1,stand,stand,stand,8.463366675277634,0.8887070376432079,0.0015674297248037534,0.27021179185468547,0.7282364038572018,0.0
138,data/RawData/207_18_3_2_2_stand.txt,207,18,3,2,2,stand,stand,stand,8.38974571388367,0.8878887070376432,0.0,0.0,1.3074324768216918,0.0
139,data/RawData/302_18_4_11_1_stand.txt,302,18,4,11,1,stand,stand,stand,8.338300001086438,0.8870703764320785,0.0,0.024853759593099805,0.9754418281890113,0.0
140,data/RawData/207_18_0_6_2_stand.txt,207,18,0,6,2,stand,stand,stand,8.232548661859893,0.886252045826514,0.0,0.0,1.0761605259560707,2.8292452164352213e-06
141,data/RawData/103_18_4_2_1_stand.txt,103,18,4,2,1,stand,stand,stand,8.14346118457277,0.8854337152209493,0.0,0.38271674550555046,0.6172875877605628,0.0
142,data/RawData/303_18_4_9_1_stand.txt,303,18,4,9,1,stand,stand,stand,8.034869252003364,0.8846153846153846,0.0,0.182068349556409,0.8179567289493779,7.218763213606533e-06
143,data/RawData/306_18_5_12_1_stand.txt,306,18,5,12,1,stand,stand,stand,8.0071112758294,0.88379705400982,0.0,0.0,1.252948056298703,0.0
144,data/RawData/105_18_5_5_1_stand.txt,105,18,5,5,1,stand,stand,stand,7.989557094958647,0.8829787234042553,0.0,0.0,1.346977122795818,0.0
